component,vendor,part_number,quantity,unit_cost_usd,total_cost_usd,notes
Arduino Uno R3,Arduino,A000066,1,27.60,27.60,Microcontroller board (ATmega328P 16 MHz)
SparkFun heating pad 5 cm x 10 cm 5 V,SparkFun,COM-11288,1,8.95,8.95,Resistive heating element used as actuator
DS18B20 waterproof temperature probe,Adafruit,381,1,3.95,3.95,1-Wire digital probe; data line on D7 with 4.7 kohm pull-up to +5 V
N-channel MOSFET 60 V 30 A TO-220,Generic,IRLB8721,1,1.85,1.85,Logic-level gate; switches the heater current
10 kohm resistor 1/4 W,Generic,,1,0.10,0.10,Pull-down on the MOSFET gate (D9 to GND)
4.7 kohm resistor 1/4 W,Generic,,1,0.10,0.10,Pull-up on the DS18B20 data line (D7 to +5 V)
Tactile pushbutton 6 mm,Generic,,1,0.50,0.50,Start trigger on D2 to GND (firmware uses INPUT_PULLUP)
Solderless breadboard 170 tie-points,Generic,,1,2.50,2.50,Builds the controller without soldering
Jumper wire kit,Generic,,1,3.03,3.03,Mixed M-M and M-F leads for breadboard wiring
,,,,Total,48.58,Per-unit reusable hardware cost (USD)
